County Name,2020,2021,2022,2023,2024
Adams,65622,65077,64526,64435,64109
Alexander,5172,5028,4859,4723,4594
Bond,16856,16797,16716,16637,16576
Boone,53339,53173,53084,53239,53313
Brown,6237,6444,6321,6301,6307
Bureau,33225,32999,32862,32758,32486
Calhoun,4403,4392,4335,4293,4224
Carroll,15678,15712,15553,15492,15444
Cass,12976,12778,12672,12779,12713
Champaign,206252,207232,208033,209813,212374
Christian,33982,33731,33410,33319,33247
Clark,15448,15375,15211,15218,15076
Clay,13273,13166,13053,12945,12821
Clinton,36913,36898,36987,36886,37087
Coles,47084,47136,46708,46532,46423
Cook,5267072,5185134,5133106,5142522,5182617
Crawford,18637,18673,18516,18342,18388
Cumberland,10437,10358,10296,10272,10305
DeKalb,100368,100584,100569,100661,101335
De Witt,15464,15410,15341,15331,15319
Douglas,19780,19714,19702,19733,19824
DuPage,931508,927145,925143,929180,937142
Edgar,16808,16601,16426,16442,16398
Edwards,6209,6087,6073,6021,5984
Effingham,34707,34514,34336,34453,34602
Fayette,21485,21438,21284,21209,21157
Ford,13511,13480,13270,13316,13451
Franklin,37717,37484,37226,37156,37033
Fulton,33554,33344,33022,32664,32510
Gallatin,4945,4908,4842,4708,4690
Greene,11935,11848,11643,11572,11417
Grundy,52535,52984,53153,53587,53835
Hamilton,7993,7908,7976,7886,7818
Hancock,17558,17395,17250,17195,17008
Hardin,3646,3640,3588,3599,3550
Henderson,6335,6309,6168,6105,6048
Henry,49178,48929,48567,48362,48177
Iroquois,26966,26761,26417,26033,26067
Jackson,53264,52986,53004,52867,53199
Jasper,9255,9210,9185,9156,9092
Jefferson,37000,36899,36415,36331,36107
Jersey,21492,21350,21222,21158,21150
Jo Daviess,22098,22016,21863,21749,21528
Johnson,13322,13481,13401,13355,13320
Kane,516403,516564,515070,517241,520997
Kankakee,107403,106757,106221,106386,106410
Kendall,132351,135023,137602,140229,143171
Knox,49806,49333,48713,48663,48716
Lake,713426,712733,712143,714207,718604
LaSalle,109409,109166,108210,108397,108390
Lawrence,15283,15246,14937,14886,14801
Lee,34063,34202,33928,33606,33544
Livingston,35816,35799,35513,35321,35375
Logan,27905,27978,27654,27508,27518
McDonough,27116,26906,26965,26952,26662
McHenry,309973,311669,311921,313435,315959
McLean,171236,171411,171571,171493,172069
Macon,103764,102619,101369,100754,100737
Macoupin,44924,44563,44239,44127,43895
Madison,265749,265001,263981,263442,263017
Marion,37657,37390,36878,36640,36437
Marshall,11710,11665,11657,11650,11552
Mason,13053,12826,12717,12588,12543
Massac,14137,13953,13858,13751,13627
Menard,12272,12170,12076,11996,11963
Mercer,15632,15583,15512,15456,15292
Monroe,34953,35007,35107,35144,34969
Montgomery,28242,28128,27971,27756,27615
Morgan,33494,33289,32931,32773,32618
Moultrie,14492,14573,14361,14327,14365
Ogle,51762,51540,51437,51391,51345
Peoria,181512,179847,178503,178735,179630
Perry,20892,21027,20503,20499,20272
Piatt,16683,16764,16678,16720,16628
Pike,14637,14621,14492,14339,14258
Pope,3758,3763,3757,3715,3703
Pulaski,5179,5093,4966,4957,4879
Putnam,5631,5589,5562,5588,5633
Randolph,30084,30207,30101,29993,29903
Richland,15805,15784,15536,15502,15362
Rock Island,144360,142943,141812,141939,142731
St. Clair,257070,255210,252947,252094,251149
Saline,23741,23368,23141,22988,22826
Sangamon,196223,195468,194483,194216,194345
Schuyler,6870,6835,6755,6725,6750
Scott,5074,4984,4898,4850,4880
Shelby,20907,20853,20706,20593,20542
Stark,5388,5291,5324,5267,5272
Stephenson,44573,44130,43702,43347,43088
Tazewell,131296,130640,129859,129835,129821
Union,17298,17035,16901,16866,16886
Vermilion,74010,73175,72089,71551,71106
Wabash,11315,11209,11061,11032,10979
Warren,16832,16595,16368,16224,16217
Washington,13731,13651,13650,13570,13535
Wayne,16161,15995,15903,15875,15928
White,13814,13767,13636,13482,13395
Whiteside,55574,55320,54602,54582,54657
Will,696909,699327,699110,703383,708583
Williamson,67121,66895,66565,66737,67064
Winnebago,284963,283413,282081,282214,283790
Woodford,38407,38220,38254,38387,38290
