County Name,2020 Population Estimate,2021 Population Estimate,2022 Population Estimate,2023 Population Estimate,2024 Population Estimate
adams,65622,65077,64526,64435,64109
alexander,5172,5028,4859,4723,4594
bond,16856,16797,16716,16637,16576
boone,53339,53173,53084,53239,53313
brown,6237,6444,6321,6301,6307
bureau,33225,32999,32862,32758,32486
calhoun,4403,4392,4335,4293,4224
carroll,15678,15712,15553,15492,15444
cass,12976,12778,12672,12779,12713
champaign,206252,207232,208033,209813,212374
christian,33982,33731,33410,33319,33247
clark,15448,15375,15211,15218,15076
clay,13273,13166,13053,12945,12821
clinton,36913,36898,36987,36886,37087
coles,47084,47136,46708,46532,46423
cook,5267072,5185134,5133106,5142522,5182617
crawford,18637,18673,18516,18342,18388
cumberland,10437,10358,10296,10272,10305
dekalb,100368,100584,100569,100661,101335
dewitt,15464,15410,15341,15331,15319
douglas,19780,19714,19702,19733,19824
dupage,931508,927145,925143,929180,937142
edgar,16808,16601,16426,16442,16398
edwards,6209,6087,6073,6021,5984
effingham,34707,34514,34336,34453,34602
fayette,21485,21438,21284,21209,21157
ford,13511,13480,13270,13316,13451
franklin,37717,37484,37226,37156,37033
fulton,33554,33344,33022,32664,32510
gallatin,4945,4908,4842,4708,4690
greene,11935,11848,11643,11572,11417
grundy,52535,52984,53153,53587,53835
hamilton,7993,7908,7976,7886,7818
hancock,17558,17395,17250,17195,17008
hardin,3646,3640,3588,3599,3550
henderson,6335,6309,6168,6105,6048
henry,49178,48929,48567,48362,48177
iroquois,26966,26761,26417,26033,26067
jackson,53264,52986,53004,52867,53199
jasper,9255,9210,9185,9156,9092
jefferson,37000,36899,36415,36331,36107
jersey,21492,21350,21222,21158,21150
jodaviess,22098,22016,21863,21749,21528
johnson,13322,13481,13401,13355,13320
kane,516403,516564,515070,517241,520997
kankakee,107403,106757,106221,106386,106410
kendall,132351,135023,137602,140229,143171
knox,49806,49333,48713,48663,48716
lake,713426,712733,712143,714207,718604
lasalle,109409,109166,108210,108397,108390
lawrence,15283,15246,14937,14886,14801
lee,34063,34202,33928,33606,33544
livingston,35816,35799,35513,35321,35375
logan,27905,27978,27654,27508,27518
macon,103764,102619,101369,100754,100737
macoupin,44924,44563,44239,44127,43895
madison,265749,265001,263981,263442,263017
marion,37657,37390,36878,36640,36437
marshall,11710,11665,11657,11650,11552
mason,13053,12826,12717,12588,12543
massac,14137,13953,13858,13751,13627
mcdonough,27116,26906,26965,26952,26662
mchenry,309973,311669,311921,313435,315959
mclean,171236,171411,171571,171493,172069
menard,12272,12170,12076,11996,11963
mercer,15632,15583,15512,15456,15292
monroe,34953,35007,35107,35144,34969
montgomery,28242,28128,27971,27756,27615
morgan,33494,33289,32931,32773,32618
moultrie,14492,14573,14361,14327,14365
ogle,51762,51540,51437,51391,51345
peoria,181512,179847,178503,178735,179630
perry,20892,21027,20503,20499,20272
piatt,16683,16764,16678,16720,16628
pike,14637,14621,14492,14339,14258
pope,3758,3763,3757,3715,3703
pulaski,5179,5093,4966,4957,4879
putnam,5631,5589,5562,5588,5633
randolph,30084,30207,30101,29993,29903
richland,15805,15784,15536,15502,15362
rockisland,144360,142943,141812,141939,142731
saline,23741,23368,23141,22988,22826
sangamon,196223,195468,194483,194216,194345
schuyler,6870,6835,6755,6725,6750
scott,5074,4984,4898,4850,4880
shelby,20907,20853,20706,20593,20542
stark,5388,5291,5324,5267,5272
stclair,257070,255210,252947,252094,251149
stephenson,44573,44130,43702,43347,43088
tazewell,131296,130640,129859,129835,129821
union,17298,17035,16901,16866,16886
vermilion,74010,73175,72089,71551,71106
wabash,11315,11209,11061,11032,10979
warren,16832,16595,16368,16224,16217
washington,13731,13651,13650,13570,13535
wayne,16161,15995,15903,15875,15928
white,13814,13767,13636,13482,13395
whiteside,55574,55320,54602,54582,54657
will,696909,699327,699110,703383,708583
williamson,67121,66895,66565,66737,67064
winnebago,284963,283413,282081,282214,283790
woodford,38407,38220,38254,38387,38290
