county_name,Year 2020,Year 2021,Year 2022,Year 2023,Year 2024
adams,"19,673","20,895​","21,693","22,557","19,037"
dupage,"133,613","151,200","165,485​","182,913","156,350"
jo daviess,"3,306","3,715","3,963​","4,080","3,455"
mclean,"30,391","34,011","36,102​","38,254","32,227"
scott,"1,141","1,251​","1,347​","1,396","1,153"
alexander,"2,862","2,931​","3,021","3,038","2,619"
edgar,"5,282","5,755","6,133​","6,613","5,632"
johnson,"2,871","3,371​","3,755​","3,976","3,460"
menard,"2,321","2,604","2,735​","2,846","2,424"
shelby,"4,622","5,077​","5,389​","5,762","4,851"
bond,"3,617","3,963","4,102","4,270","3,663"
edwards,"1,578","1,692","1,781​","1,894","1,581"
kane,"109,031","120,780​","130,540​","142,826","122,291"
mercer,"2,985","3,345​","3,556​","3,681","3,133"
stark,"1,290","1,420​","1,571​","1,660","1,449"
boone,"11,970","13,312​","14,490","15,682","13,280"
effingham,"6,692","6,958","7,690​","8,159​","8,676"
kankakee,"30,247","33,526​","35,707​","37,963","32,992"
monroe,"2,795","3,216​","3,516​","3,780","3,183"
st clair,"72,505","79,769​","84,504​","89,246","78,188"
brown,"1,102","1,255​","1,451","1,549","1,290"
fayette,"6,021","6,639​","6,993​","7,260","6,164"
kendall,"18,463","21,605","24,029​","26,664","22,522"
montgomery,"7,823","8,725","9,367​","9,875","8,625"
stephenson,"12,757","13,749","14,606​","15,296","13,574"
bureau,"7,909","8,702","9,313​","9,859","8,442"
ford,"3,342","3,742​","3,942​","4,107","3,523"
knox,"15,009","16,121","17,148​","17,837","15,556"
morgan,"9,544","10,480","11,230​","11,872","10,209"
tazewell,"27,552","30,515","32,405​","34,222","28,490"
calhoun,"1,556","1,462","1,370​","1,395","1,213"
franklin,"13,429","14,873​","16,021​","16,793","14,658"
lake,"124,187","140,944","153,267​","168,616","145,500"
moultrie,"2,881","3,255​","3,505​","3,727","3,189"
union,"5,808","6,219​","6,541​","6,802","5,949"
carroll,"3,324","3,748​","4,001​","4,212","3,481"
fulton,"9,067","9,884","10,514​","11,021","9,362"
lasalle,"26,742","29,654","32,084​","34,116","29,295"
ogle,"10,539","11,689​","12,682​","13,461","11,492"
vermilion,"26,257","29,090​","31,014​","32,717","29,419"
cass,"4,072","4,472","4,908​","5,288","4,557"
gallatin,"2,067","2,067​","2,025​","2,089","1,774"
lawrence,"3,725​​","4,245","4,402​","4,699","4,288"
peoria,"55,583","60,749","64,409​","67,508","58,885"
wabash,"2,821","3,103","3,333​","3,535","3,067"
champaign,"42,282","47,878","52,446​","55,958","49,177"
greene,"3,742","4,068​","4,252​","4,385","3,706"
lee,"7,602","8,507","8,991​","9,598","7,999"
perry,"5,038","5,507","5,957​","6,340","5,456"
warren,"4,255","4,765​","5,203​","5,515","4,837"
christian,"9,014","9,869","10,388​","10,819","9,279"
grundy,"8,662","9,664​","10,449​","11,432","9,778"
livingston,"8,005","8,828​","9,458​","9,965","8,622"
piatt,"2,551","2,902","3,177​","3,396","2,799"
washington,"2,548","2,690​","2,879​","3,119","2,531"
clark,"4,080","4,443","4,808​","5,114","4,456"
hamilton,"2,159","2,392","2,589​","2,689","2,179"
logan,"7,299","7,912","8,462​","8,870","7,519"
pike,"4,508","4,935​","5,145​","5,352","4,543"
wayne,"4,065","4,522​","4,846​","4,987","4,364"
clay,"3,992","4,418","4,658​","4,853","4,211"
hancock,"4,315","4,690​","4,968​","5,192","4,377"
macon,"33,079","36,284​","38,636​","41,039","36,719"
pope,"1,055","1,171","1,206​","1,219","1,013"
white,"4,081","4,561​","4,786​","4,933","4,259"
clinton,"5,726","6,412​","6,815​","7,099","5,885"
hardin,"1,431","1,522​","1,601​","1,688","1,507"
macoupin,"11,477","12,658​","13,376​","13,909","11,944"
pulaski,"2,186","2,278","2,404​","2,531","2,276"
whiteside,"13,930","15,410","16,613​","17,541","15,298"
coles,"14,475","16,066","17,077​","18,111","15,674"
henderson,"1,572","1,702​","1,772​","2,006","1,638"
madison,"60,061","66,907​","71,989​","76,037","65,819"
putnam,920,"1,017​","1,059​","1,126","1,015"
will,"123,239","138,465","150,492​","164,282","140,875"
cook,"1,451,599​","1,604,213","1,719,615​","1,868,393","1,638,367"
henry,"10,399","11,394​","12,135​","12,886","10,893"
marion,"14,029","15,372","16,184​","17,078","14,960"
randolph,"7,438","8,245​","8,823​","9,350","7,902"
williamson,"19,867","22,085​","23,340​","24,218","20,830"
crawford,"4,719","5,246","5,749​","6,082","5,270"
iroquois,"6,933","7,572​","8,185​","8,722","7,433"
marshall,"2,593","2,871​","3,183​","3,369","2,877"
richland,"4,570","5,110​","5,423​","5,646","4,941"
winnebago,"92,802","102,593","110,600​","117,670","103,492"
cumberland,"2,586","2,810​","2,962​","3,179","2,662"
jackson,"16,584","18,414","19,914​","21,020","18,458"
mason,"4,086","4,279​","4,433​","4,654","3,943"
rockisland,"38,831","43,923​","47,789​","51,005","45,371"
woodford,"4,901","5,413​","5,835​","6,182","5,199"
dekalb,"21,372","24,158","26,220​","27,841","23,755"
jasper,"2,167","2,279​","2,396​","2,474","2,117"
massac,"5,235","5,470​","5,837​","6,087","5,222"
saline,"8,794","9,427​","9,986​","10,402","9,256"
de witt,"3,915","4,283","4,430​","4,640","3,992"
jefferson,"11,435","12,623","13,606​","14,277","12,396"
mcdonough,"6,367","7,234​","7,931​","8,414","7,328"
sangamon,"51,145","55,860​","58,967​","62,035","53,674"
douglas,"4,159","4,761","5,072​","5,557","4,703"
jersey,"4,602","4,988​","5,226​","5,510","4,677"
mchenry,"44,795","51,497","56,696​","62,576","52,496"
schuyler,"1,447","1,612​","1,753​","1,876","1,682"
